,uf,modalidade,R$
294,PA,PDS - Pós-doutorado Sênior,87350.0
295,PA,PQ - Produtividade em Pesquisa,4082460.0
296,PA,PV - Pesquisador Visitante,47550.0
297,PA,SET - Fixação de Recursos Humanos,70200.0
298,PB,ADC - Apoio à Difusão do Conhecimento,16528.0
299,PB,AED - Auxílio a Editoração e Publicação,21300.0
300,PB,APQ - Auxílio a Pesquisa,7783969.02
301,PB,ARC - Promoção de Eventos Científicos,160600.0
302,PB,AT - Apoio Técnico a Pesquisa,59150.0
303,PB,ATP - Apoio Técnico em Extensão no País ,36450.0
304,PB,DCR - Desenvolvimento Cientifico Regional,735800.0
305,PB,DT - Produtividade Desen. Tec. e Extensão ,449000.0
306,PB,DTI - Desenvolvimento Tecnológico Industrial,514500.0
307,PB,EXP - Extensão no País,70200.0
308,PB,GD - Doutorado,4007336.0
309,PB,GM - Mestrado,2088000.0
310,PB,IC - Iniciação Científica,4055200.0
311,PB,ICJ - Iniciação Científica Júnior,272300.0
312,PB,IEX - Iniciação ao Extensionismo,10800.0
313,PB,IT - Iniciação Tecnológica,289600.0
314,PB,ITC - Iniciação Tecnológica em TICs,9000.0
315,PB,ITI - Iniciação Tecnológica e Industrial,63200.0
316,PB,PCI - Programa de Capacitação Institucional,1948290.0
317,PB,PDI - Pos-doutorado Empresarial,41000.0
318,PB,PDJ - Pós-doutorado Júnior,733500.0
319,PB,PDS - Pós-doutorado Sênior,52800.0
320,PB,PQ - Produtividade em Pesquisa,5113500.0
321,PB,SET - Fixação de Recursos Humanos,92300.0
322,PB,SWP - Doutorado-Sanduiche no Pais,4400.0
323,PE,ADC - Apoio à Difusão do Conhecimento,2898.0
324,PE,AED - Auxílio a Editoração e Publicação,43000.0
325,PE,APQ - Auxílio a Pesquisa,18984945.14
326,PE,ARC - Promoção de Eventos Científicos,240000.0
327,PE,AT - Apoio Técnico a Pesquisa,523400.0
328,PE,ATP - Apoio Técnico em Extensão no País ,72850.0
329,PE,DCR - Desenvolvimento Cientifico Regional,1587150.0
330,PE,DT - Produtividade Desen. Tec. e Extensão ,496300.0
331,PE,DTI - Desenvolvimento Tecnológico Industrial,1569860.0
332,PE,EV - Especialista Visitante,82500.0
333,PE,EXP - Extensão no País,148080.0
334,PE,GD - Doutorado,7697848.76
335,PE,GM - Mestrado,3594000.0
336,PE,IC - Iniciação Científica,5454800.0
337,PE,ICJ - Iniciação Científica Júnior,128800.0
338,PE,IT - Iniciação Tecnológica,356400.0
339,PE,ITC - Iniciação Tecnológica em TICs,5000.0
340,PE,ITI - Iniciação Tecnológica e Industrial,140400.0
